experiment_id,query_id,query_text,detector_label,retrieval_path,rank,doc_id,bm25_score,headline,news_text_or_snippet,n_hits_returned,relevance_label
phase12_new_unseen_evaluation,U001,آج قومی اسمبلی کا اجلاس ہے کیا,URDU,urdu_bm25,1,61355,21.767139434814453,قومی اسمبلی کا اجلاس منگل کوطلب بجٹ جمعہ کو پیش کیا جائے گا,اسلام اباد22مئی 2017 صدر مملکت ممنون حسین نے قومی اسمبلی کا اجلاس منگل کو طلب کرلیا ہے قومی اسمبلی کے اجلاس کو سہ پہر 3بجے طلب کیا گیا ہے جبکہ ایوان زیریں میں ائندہ مالی سال 20172018کا بجٹ جمعہ کو پیش کیا جائے گادوسری طرف اسی دن ایوان بالا سینیٹ کا اجلاس شام 6بجے ہوگا گذشتہ ہفتے وزیراعظم نے مجموعی طور پر 2113ارب کے ترقیاتی بجٹ کی منظوری دی تھی جبکہ اگلے مالی سال میں جی ڈی پی کے گروتھ ریٹ کی شرح 6فیصد رکھی گئی ہے اس سےقبل وزیراعظم کے زیرصدارت اجلاس میں بجٹ کی منظوری دی گئ تھی اور وزیراعظم کو ملک…,50,
phase12_new_unseen_evaluation,U001,آج قومی اسمبلی کا اجلاس ہے کیا,URDU,urdu_bm25,2,72816,20.594186782836914,پراپرٹی کیلئے نئی ایمنسٹی اسکیم کا بل قومی اسمبلی میں پیش ہوگا,پراپرٹی کے شعبے کو تین سے پانچ فی صد ٹیکس کی ادائیگی پر نئی ایمنسٹی اسکیم دینے کے لیے بل کو حتمی شکل دے کر رواں ہفتے قومی اسمبلی کے اجلاس میں پیش کردیا جائے گا میاں عبدالمنان کی زیر صدارت قومی اسمبلی کی قائمہ کمیٹی برائے خزانہ کی ذیلی کمیٹی کے اجلاس کی طرف سے پراپرٹی کی اصل قیمت ظاہر کرنے پر تین فیصد ٹیکس لینے کی تجویز دی جارہی ہے جس کے بعد متعلقہ شخص سے اس کی امدنی کا ذریعہ نہیں پوچھا جائے گا جبکہ وزارت خزانہ یہ ٹیکس پانچ فی صد کی شرح سے وصول کرنا چاہتی ہے ذرائع کا کہنا ہے کہ رواں ہفتے جو بل ق…,50,
phase12_new_unseen_evaluation,U001,آج قومی اسمبلی کا اجلاس ہے کیا,URDU,urdu_bm25,3,38842,20.283884048461914,قومی اسمبلی نے دوسرے مالیاتی ضمنی بل کی منظوری دے دی,اسلام اباد 92 نیوز قومی اسمبلی نے دوسرے مالیاتی ضمنی بل کی منظوری دے دی اور اپوزیشن کی تمام ترامیم مسترد کر دیں قومی اسمبلی اجلاس اسپیکر اسد قیصر کی صدارت میں ہوا اجلاس میں جے یو ئی کے رکن مولانا اسد محمود کو فیصل واوڈا کیخلاف قرارداد پیش کرنے کی اجازت نہ ملنے پر اپوزیشن نے احتجاج کیا جس پر اسپیکر نے کہا کہ طریقہ کار کے مطابق اسپیکر کے چیمبر میں قرارداد پیش کریں اس پر جے یو ئی کے ارکان نے احتجاج شروع کردیا اسپیکر کے ڈائس کا گھیرا کیا ایجنڈے کی کاپیاں پھاڑ دیں اور واک کیا اجلاس کے دوران اپوزیشن …,50,
phase12_new_unseen_evaluation,U001,آج قومی اسمبلی کا اجلاس ہے کیا,URDU,urdu_bm25,4,17486,20.275344848632812,حکومت اس ماہ ٹیکس ایمنسٹی بل پیش کرے گی,حکومت اس ماہ ٹیک ایمنسٹی بل پیش کرے گی فائل تصویراسلام اباد حکومت نے قومی اسمبلی کے رواں اجلاس کے دوران ٹیکس ایمنسٹی سمیت کئی اہم بل لانے کا فیصلہ کرلیا ہےبرنس ایڈوائزری کمیٹی اجلاس کے بعد وفاقی وزیرمذہبی امور سید خورشید شاہ نے بتایا کہ کہ قومی اسمبلی کا رواں اجلاس 20 نومبر تک جاری رہے گا اور اس اجلاس کے دوران قومی احتساب کمیشن قائم کرنے کا بل ٹیکس ایمنسٹی لانے کے بل سمیت کئی اہم بل پیش کئے جائیں گےانہوں نے بتایا کہ ٹیکس ایمنسٹی لانے کا بل بدھ کو وفاقی کابینہ میں پیش کیا جائے گا وفاقی کابینہ کی…,50,
phase12_new_unseen_evaluation,U001,آج قومی اسمبلی کا اجلاس ہے کیا,URDU,urdu_bm25,5,31389,19.08626365661621,ارکان اسمبلی قومی ٹیم کی ناقص کارکردگی پر برہم,اسلام باد وفاقی وزیر اور قومی اسمبلی کی کے رکن ریاض حسین پیرازادہ نے کمیٹی کے اجلاس میں انگلینڈ میں موجود قومی ٹیم کی ناقص بیٹنگ کارکردگی کو شدید تنقید کا نشانہ بنانے کے ساتھ ساتھ سرکاری اسپورٹس ٹی وی پر بھی ناراضی کا اظہار کیارکن قومی اسمبلی عبدالقاہر خان کی زیر صدارت قومی اسمبلی کی اسٹینڈنگ کمیٹی برائے بین الصوبائی رابطہ کمیٹی کے اجلاس کے دوران ریاض پیرزادہ نے قومی ٹیم کی انگلینڈ کے خلاف جاری ایک روزہ سیریز میں ناقص بیٹنگ کارکردگی کو تنقید کا نشانہ بناتے ہوئے کہا کہ اگر صفر پر ہی ہونا ہے تو م…,50,
phase12_new_unseen_evaluation,U002,aaj pakistan ka cricket match kis se hai,ROMAN,roman_bm25_method_D,1,58393,18.430683135986328,ابوظہبیپاکستان اور انگلینڈ کے درمیان پہلا ون ڈے اج ہو گا,پاکستان اورانگلینڈ کے درمیان ون ڈے سیریز کا پہلامیچ ابوظہبی میں کھیلا جائے گا پاکستان کی قیادت اظہرعلی اورانگلش ٹیم کی قیادت اوئن مورگن کریں گے میچ ابوظہبی میں ہے اور یہ میدان پاکستان کے لیے اب تک کچھ اچھا ثابت نہیں ہوا ٹیسٹ کرکٹ میں کامیابی کے بعد اب پاکستانی شاہین انگلش شیروں کو دبوچنے کے لئے ااج ابو ظہبی کے میدان میں اترے گی پاکستانی ٹیم پچھلی ون ڈے سیریز کا بدلہ لینے کے لئے کوشش کرے گی شاہینوں کی قیادت اظہر علی جب کہ انگلش ٹیم کے قائد اوئن مورگن ہوں گے انگلش ٹیم کو ٹیسٹ سریز کے تین بہترین ک…,50,
phase12_new_unseen_evaluation,U002,aaj pakistan ka cricket match kis se hai,ROMAN,roman_bm25_method_D,2,86468,14.713738441467285,اسپاٹ فکسنگ ٹریبونل میرا کیس بھی سنے دانش کنیریا,اسپاٹ فکسنگ کیس میں تاحیات پابندی کا سامنا کر نے والے لیگ اسپنر دانش کنیریا نے وزیر اعظم نواز شریف سے اپیل کی ہے کہ خالد لطیف اور شرجیل خان کے لیے بنائے گیا ٹریبونل میرا بھی کیس سنے پاکستان کرکٹ بورڈ کے اسپاٹ فکسنگ ٹریبونل میں میرا کیس ری اوپن کیا جائے میرے خلاف جو بھی ثبوت ہیں سامنے لایا جائیں بدھ کو کراچی میں میڈیا سے بات چیت کرتے ہوئے انہوں نے کہا کہ انگلش کرکٹ بورڈ نے میرے خلاف جانبدارانہ فیصلہ کیا جس میں انصاف کے تقاضے پورے نہیں کئے گئے میں پاکستانی کھلاڑی ہوں پی سی بی میرا موقف بھی سنے اس…,50,
phase12_new_unseen_evaluation,U002,aaj pakistan ka cricket match kis se hai,ROMAN,roman_bm25_method_D,3,54492,14.517390251159668,پاکبھارت تنازعہ کیس کا فیصلہ اج سنائے جانے کا امکان,دبئی 3اکتوبر 2018 انٹر نیشنل کرکٹ کونسل ٹریبونل میں پاکستان اور بھارت تنازعہ کیس کا خری دن ہے کیس کا فیصلہ بھی اج ہی سنائے جانے کا امکان ہے تفصیلات کے مطابق مائیکل بیلوف کی سربراہی میں تین رکنی میچ نے ئی سی سی ڈسیپوٹ کمیٹی میں پاکستان کے بھارت کے خلاف سات کروڑ ڈالر زرتلافی کیس کی سماعت دبئی میں جاری ہے جس میں دونوں ممالک کے کرکٹ بورڈز ٹریبونل کے سامنے اپناموقف پیش کرچکے ہیںگذشتہ روز بھارتی بورڈ کے سابق جی ایم رتناکرشیٹی نے دلائل پیش کیے تھے جبکہ دوہزارچودہ میں بورڈ کے سیکریٹری سنجے پٹیل سے بھی …,50,
phase12_new_unseen_evaluation,U002,aaj pakistan ka cricket match kis se hai,ROMAN,roman_bm25_method_D,4,42603,14.226109504699707,عامر خان اج اسٹریلوی باکسر بلی ڈب کا مقابلہ کریں گے,جدہ 92 نیوزباکسنگ شائقین ہو جائیں تیار پاکستانی نژاد برطانوی باکسر عامر خان اج سعودی رب کے شہر جدہ میں سٹریلوی باکسر بلی ڈب کیخلاف رنگ میں اتریں گے کنگ رنگ پاکستانی نژاد برطانوی باکسر عامر خان رنگ میں اترنے کے لیے تیار جب کہ شائقین انکی فائٹ دیکھنے کے لیے بے تاب ہیں پاکستانی نژاد برطانوی باکسر عامر خان ااج سعودی عرب کے شہر جدہ میں ان ایکشن ہوں گے جہاں انکا مقابلہ سٹریلیا کے باکسر بلی ڈب سے ہو گا اس سے پہلے اسٹار باکسر کا مقابلہ بھارتی باکسرنیرج گوئیت سے ہونا تھا جو حادثے میں زخمی ہونے کے باعث ا…,50,
phase12_new_unseen_evaluation,U002,aaj pakistan ka cricket match kis se hai,ROMAN,roman_bm25_method_D,5,56320,13.787019729614258,اسپاٹ فکسنگ کیس پی سی بی انٹی کرپشن ٹریبونل کل باقاعدہ سماعت کریگا,پاکستان کرکٹ بورڈ کے انٹی کرپشن ٹریبونل اسپاٹ فکسنگ کیس کی سماعت کل کرے گا اسپاٹ فکسنگ کیس میں معطل شرجیل خان اور خالد لطیف کے خلاف پی سی بی ٹھوس شواہد اور ثبوت پیش کرے گا پاکستان سپر لیگ اسپاٹ فکسنگ کیس میں اینٹی کرپشن ٹربیونل کل باقاعدہ سماعت شروع کرے گا سماعت کے پہلے روز شرجیل خان اپنے وکلا کے ہمراہ پیش ہوں گے جبکہ پاکستان کرکٹ بورڈ معطل کرکٹر کا کٹھا چٹھا کھولے گا ذرائع کے مطابق پی سی بی اینٹی کرپشن ٹربیونل کو بکیز اور کھلاڑیوں کے درمیان ای میل اور ساتھ کھانا کھانے کی فوٹیجز اور میچ فکسنگ ک…,50,
