experiment_id,query_id,query_text,detector_label,retrieval_path,rank,doc_id,bm25_score,headline,news_text_or_snippet,n_hits_returned
phase12_new_unseen_evaluation,U001,آج قومی اسمبلی کا اجلاس ہے کیا,URDU,urdu_bm25,1,61355,21.767139434814453,قومی اسمبلی کا اجلاس منگل کوطلب بجٹ جمعہ کو پیش کیا جائے گا,اسلام اباد22مئی 2017 صدر مملکت ممنون حسین نے قومی اسمبلی کا اجلاس منگل کو طلب کرلیا ہے قومی اسمبلی کے اجلاس کو سہ پہر 3بجے طلب کیا گیا ہے جبکہ ایوان زیریں میں ائندہ مالی سال 20172018کا بجٹ جمعہ کو پیش کیا جائے گادوسری طرف اسی دن ایوان بالا سینیٹ کا اجلاس شام 6بجے ہوگا گذشتہ ہفتے وزیراعظم نے مجموعی طور پر 2113ارب کے ترقیاتی بجٹ کی منظوری دی تھی جبکہ اگلے مالی سال میں جی ڈی پی کے گروتھ ریٹ کی شرح 6فیصد رکھی گئی ہے اس سےقبل وزیراعظم کے زیرصدارت اجلاس میں بجٹ کی منظوری دی گئ تھی اور وزیراعظم کو ملک…,50
phase12_new_unseen_evaluation,U001,آج قومی اسمبلی کا اجلاس ہے کیا,URDU,urdu_bm25,2,72816,20.594186782836914,پراپرٹی کیلئے نئی ایمنسٹی اسکیم کا بل قومی اسمبلی میں پیش ہوگا,پراپرٹی کے شعبے کو تین سے پانچ فی صد ٹیکس کی ادائیگی پر نئی ایمنسٹی اسکیم دینے کے لیے بل کو حتمی شکل دے کر رواں ہفتے قومی اسمبلی کے اجلاس میں پیش کردیا جائے گا میاں عبدالمنان کی زیر صدارت قومی اسمبلی کی قائمہ کمیٹی برائے خزانہ کی ذیلی کمیٹی کے اجلاس کی طرف سے پراپرٹی کی اصل قیمت ظاہر کرنے پر تین فیصد ٹیکس لینے کی تجویز دی جارہی ہے جس کے بعد متعلقہ شخص سے اس کی امدنی کا ذریعہ نہیں پوچھا جائے گا جبکہ وزارت خزانہ یہ ٹیکس پانچ فی صد کی شرح سے وصول کرنا چاہتی ہے ذرائع کا کہنا ہے کہ رواں ہفتے جو بل ق…,50
phase12_new_unseen_evaluation,U001,آج قومی اسمبلی کا اجلاس ہے کیا,URDU,urdu_bm25,3,38842,20.283884048461914,قومی اسمبلی نے دوسرے مالیاتی ضمنی بل کی منظوری دے دی,اسلام اباد 92 نیوز قومی اسمبلی نے دوسرے مالیاتی ضمنی بل کی منظوری دے دی اور اپوزیشن کی تمام ترامیم مسترد کر دیں قومی اسمبلی اجلاس اسپیکر اسد قیصر کی صدارت میں ہوا اجلاس میں جے یو ئی کے رکن مولانا اسد محمود کو فیصل واوڈا کیخلاف قرارداد پیش کرنے کی اجازت نہ ملنے پر اپوزیشن نے احتجاج کیا جس پر اسپیکر نے کہا کہ طریقہ کار کے مطابق اسپیکر کے چیمبر میں قرارداد پیش کریں اس پر جے یو ئی کے ارکان نے احتجاج شروع کردیا اسپیکر کے ڈائس کا گھیرا کیا ایجنڈے کی کاپیاں پھاڑ دیں اور واک کیا اجلاس کے دوران اپوزیشن …,50
phase12_new_unseen_evaluation,U001,آج قومی اسمبلی کا اجلاس ہے کیا,URDU,urdu_bm25,4,17486,20.275344848632812,حکومت اس ماہ ٹیکس ایمنسٹی بل پیش کرے گی,حکومت اس ماہ ٹیک ایمنسٹی بل پیش کرے گی فائل تصویراسلام اباد حکومت نے قومی اسمبلی کے رواں اجلاس کے دوران ٹیکس ایمنسٹی سمیت کئی اہم بل لانے کا فیصلہ کرلیا ہےبرنس ایڈوائزری کمیٹی اجلاس کے بعد وفاقی وزیرمذہبی امور سید خورشید شاہ نے بتایا کہ کہ قومی اسمبلی کا رواں اجلاس 20 نومبر تک جاری رہے گا اور اس اجلاس کے دوران قومی احتساب کمیشن قائم کرنے کا بل ٹیکس ایمنسٹی لانے کے بل سمیت کئی اہم بل پیش کئے جائیں گےانہوں نے بتایا کہ ٹیکس ایمنسٹی لانے کا بل بدھ کو وفاقی کابینہ میں پیش کیا جائے گا وفاقی کابینہ کی…,50
phase12_new_unseen_evaluation,U001,آج قومی اسمبلی کا اجلاس ہے کیا,URDU,urdu_bm25,5,31389,19.08626365661621,ارکان اسمبلی قومی ٹیم کی ناقص کارکردگی پر برہم,اسلام باد وفاقی وزیر اور قومی اسمبلی کی کے رکن ریاض حسین پیرازادہ نے کمیٹی کے اجلاس میں انگلینڈ میں موجود قومی ٹیم کی ناقص بیٹنگ کارکردگی کو شدید تنقید کا نشانہ بنانے کے ساتھ ساتھ سرکاری اسپورٹس ٹی وی پر بھی ناراضی کا اظہار کیارکن قومی اسمبلی عبدالقاہر خان کی زیر صدارت قومی اسمبلی کی اسٹینڈنگ کمیٹی برائے بین الصوبائی رابطہ کمیٹی کے اجلاس کے دوران ریاض پیرزادہ نے قومی ٹیم کی انگلینڈ کے خلاف جاری ایک روزہ سیریز میں ناقص بیٹنگ کارکردگی کو تنقید کا نشانہ بناتے ہوئے کہا کہ اگر صفر پر ہی ہونا ہے تو م…,50
phase12_new_unseen_evaluation,U001,آج قومی اسمبلی کا اجلاس ہے کیا,URDU,urdu_bm25,6,40342,19.078645706176758,وفاقی حکومت شیڈول کے مطابق بجٹ منظور کرانے میں ناکام,اسلام اباد نائنٹی ٹو نیوز وفاقی حکومت شیڈول کے مطابق بجٹ منظور کرانے میں ناکام قومی اسمبلی نے وزرات خارجہ وزرات داخلہ اور وزارت خوراک اور وزارت پانی وبجلی کے ایک کھرب انچاس ارب دو کروڑ دو لاکھ ساٹھ ہزار کے اخراجات کی منظوری دیدی اپوزیشن کی جانب سے 23 مطالبات زر پر سات سو سے زائد کٹوتی کی تحریکیں کثرت رائے سے مسترد کردی گئیں وزارت داخلہ سے متعلق کٹوتی کی تحاریک پر بحث کے دوران وزیر داخلہ چوہدری نثار کی عدم موجودگی پر ایم کیو ایم پیپلزپارٹی اور تحریک انصاف کا احتجاجا واک کر دیا قومی اسمبلی کا اجل…,50
phase12_new_unseen_evaluation,U001,آج قومی اسمبلی کا اجلاس ہے کیا,URDU,urdu_bm25,7,77358,18.69639778137207,ٹیکس ایمنسٹی اسکیم کا بل منظور 32 لاکھ ٹیکس چور نیٹ میں سکیں گے,اسلام بادقومی اسمبلی کی قائمہ کمیٹی برائے خزانہ نے ٹیکس ایمنسٹی اسکیم کا بل منظور کرلیا ہے جس سے 32 لاکھ ٹیکس چور ٹیکس کے دائرے میں سکیں گے اسکیم کے ذریعے تین مہینوں میں 70 ارب روپے جمع ہوسکتے ہیںخواجہ سہیل منصور کی زیر صدارت قائمہ کمیٹی کا اجلاس اسلام باد میں ہوا اجلاس میں ٹیکس ایمنسٹی اسکیم پر ایم کیو ایم نے بائی کاٹ کیا جس پر صدارت رکن قومی اسمبلی نفیسہ شاہ کو دے دی گئی ٹیکس ایمنسٹی اسکیم کا قانون کثرت رائے سے اسکیم کا بل منظور کرلیا گیا چیئرمین ایف بی علی ارشد حکیم نے بتایاکہ اسکیم کے ذریعے…,50
phase12_new_unseen_evaluation,U001,آج قومی اسمبلی کا اجلاس ہے کیا,URDU,urdu_bm25,8,73514,18.677827835083008,ٹیکس نہ دینےوالے کونااہل قرار دینے کی تجویز,قومی اسمبلی کے اجلاس میں اج بھی بجٹ پر بحث جاری رہے گی گزشتہ روز قائد حزب اختلاف نے تجویز دی تھی کہ جو رکن لاکھ ٹیکس نہ دے اسے ائندہ انتخاب لڑنےکی اجازت نہیں ہونی چاہیےاپوزیشن کی طرف سے بجٹ کو کڑی تنقید کا نشانہ بنایا جا رہا ہے گزشتہ روز قومی اسمبلی میں اپوزیشن لیڈر خورشید شاہ نے بجٹ پر اظہار خیال کیا ان کا کہنا تھا کہ بجٹ الفاظ کا گورکھ دھندہ ہے ملکی ترقی کی شرح 47 فیصدکی بجائے اصل میں ساڑھے فیصد ہے مالی خسارہ 43 کی بجائے فیصد ہےخورشید شاہ نے حکومتی پالیسیوں کی ناکامی اور خاص طور پر بجلی کی لو…,50
phase12_new_unseen_evaluation,U001,آج قومی اسمبلی کا اجلاس ہے کیا,URDU,urdu_bm25,9,75751,18.370159149169922,ئندہ مالی سال کابجٹ 6جون کو پیش کیے جانے کاامکان,اسلام بادئندہ مالی سال کا بجٹ چھ جون کو پیش کیے جانے کا امکان ہے جبکہ قومی اسمبلی کا بجٹ اجلاس تین جون کو طلب کرلیا گیا ہے نواز شریف حکومت اپنے موجودہ دور اقتدار کا دوسرا بجٹ پیش کرنے جارہی ہے گذشتہ سال اقتدار سنبھالتے ہی لیگ کو بجٹ پیش کرنا پڑا تھا اور اسے تیاری کا وقت کم ملا تھا لیکن اس بات حکومت بجٹ پیش کرنے کے لیے پوری طرح تیار ہے قومی اسمبلی میں مالی سال دو ہزارہ چودہ دو ہزار پندرہ کا بجٹ اجلاس تین جون کو طلب کرلیا گیا,50
phase12_new_unseen_evaluation,U001,آج قومی اسمبلی کا اجلاس ہے کیا,URDU,urdu_bm25,10,73436,18.3327693939209,قومی اسمبلی مالی سال 172016کے بجٹ کی منظوری,قومی اسمبلی نے مالی سال 172016ءکے بجٹ کی منظوری دے دی ارکان پارلیمنٹ کی تنخواہ بڑھانے کا اختیار وفاقی حکومت نے اپنے ہاتھ میں لے لیا وزیر اعظم وطن واپس کر تنخواہوں میں اضافے کی حتمی منظوری دیں گےقومی اسمبلی نے 48 کھرب روپے سے زائد کے نئے بجٹ کے ساتھ 162015 ءکے ضمنی بجٹ کی منظوری بھی دے دی وفاقی وزیر خزانہ اسحاق ڈار کا کہنا تھا کہ وزیر اعظم نواز شریف اپریشن سے چند گھنٹے پہلے بھی کابینہ کے اجلاس سے مخاطب تھے اور اپریشن کے بعد بھی بجٹ کےمعاملات سے جڑے رہےقومی اسمبلی نے ارکان پارلیمنٹ کی تنخواہوں او…,50
