experiment_id,candidate_id,query_id,query_text,track,source_doc_id,detector_label,retrieval_path,rank,doc_id,bm25_score,n_hits_returned
post_phase12_module1_M1-B,M1-B,R001,ایشیائی مارکیٹوں میں کورونا کے بعد تیزی سے بحالی,KI,523,URDU,urdu_bm25,1,62331,25.27944564819336,50
post_phase12_module1_M1-B,M1-B,R001,ایشیائی مارکیٹوں میں کورونا کے بعد تیزی سے بحالی,KI,523,URDU,urdu_bm25,2,62439,23.00950050354004,50
post_phase12_module1_M1-B,M1-B,R001,ایشیائی مارکیٹوں میں کورونا کے بعد تیزی سے بحالی,KI,523,URDU,urdu_bm25,3,62405,22.857898712158203,50
post_phase12_module1_M1-B,M1-B,R001,ایشیائی مارکیٹوں میں کورونا کے بعد تیزی سے بحالی,KI,523,URDU,urdu_bm25,4,40694,22.505781173706055,50
post_phase12_module1_M1-B,M1-B,R001,ایشیائی مارکیٹوں میں کورونا کے بعد تیزی سے بحالی,KI,523,URDU,urdu_bm25,5,62180,22.139995574951172,50
post_phase12_module1_M1-B,M1-B,R001,ایشیائی مارکیٹوں میں کورونا کے بعد تیزی سے بحالی,KI,523,URDU,urdu_bm25,6,63250,21.929372787475586,50
post_phase12_module1_M1-B,M1-B,R001,ایشیائی مارکیٹوں میں کورونا کے بعد تیزی سے بحالی,KI,523,URDU,urdu_bm25,7,86,21.658870697021484,50
post_phase12_module1_M1-B,M1-B,R001,ایشیائی مارکیٹوں میں کورونا کے بعد تیزی سے بحالی,KI,523,URDU,urdu_bm25,8,673,21.196958541870117,50
post_phase12_module1_M1-B,M1-B,R001,ایشیائی مارکیٹوں میں کورونا کے بعد تیزی سے بحالی,KI,523,URDU,urdu_bm25,9,523,20.69091033935547,50
post_phase12_module1_M1-B,M1-B,R001,ایشیائی مارکیٹوں میں کورونا کے بعد تیزی سے بحالی,KI,523,URDU,urdu_bm25,10,40167,20.58762550354004,50
post_phase12_module1_M1-B,M1-B,R001,ایشیائی مارکیٹوں میں کورونا کے بعد تیزی سے بحالی,KI,523,URDU,urdu_bm25,11,62406,20.54142189025879,50
post_phase12_module1_M1-B,M1-B,R001,ایشیائی مارکیٹوں میں کورونا کے بعد تیزی سے بحالی,KI,523,URDU,urdu_bm25,12,335,20.476966857910156,50
post_phase12_module1_M1-B,M1-B,R001,ایشیائی مارکیٹوں میں کورونا کے بعد تیزی سے بحالی,KI,523,URDU,urdu_bm25,13,63656,20.192045211791992,50
post_phase12_module1_M1-B,M1-B,R001,ایشیائی مارکیٹوں میں کورونا کے بعد تیزی سے بحالی,KI,523,URDU,urdu_bm25,14,79031,20.174409866333008,50
post_phase12_module1_M1-B,M1-B,R001,ایشیائی مارکیٹوں میں کورونا کے بعد تیزی سے بحالی,KI,523,URDU,urdu_bm25,15,63743,19.966835021972656,50
post_phase12_module1_M1-B,M1-B,R001,ایشیائی مارکیٹوں میں کورونا کے بعد تیزی سے بحالی,KI,523,URDU,urdu_bm25,16,108918,19.89520263671875,50
post_phase12_module1_M1-B,M1-B,R001,ایشیائی مارکیٹوں میں کورونا کے بعد تیزی سے بحالی,KI,523,URDU,urdu_bm25,17,40047,19.633102416992188,50
post_phase12_module1_M1-B,M1-B,R001,ایشیائی مارکیٹوں میں کورونا کے بعد تیزی سے بحالی,KI,523,URDU,urdu_bm25,18,62236,19.53172492980957,50
post_phase12_module1_M1-B,M1-B,R001,ایشیائی مارکیٹوں میں کورونا کے بعد تیزی سے بحالی,KI,523,URDU,urdu_bm25,19,653,19.38527488708496,50
post_phase12_module1_M1-B,M1-B,R001,ایشیائی مارکیٹوں میں کورونا کے بعد تیزی سے بحالی,KI,523,URDU,urdu_bm25,20,601,19.299121856689453,50
post_phase12_module1_M1-B,M1-B,R001,ایشیائی مارکیٹوں میں کورونا کے بعد تیزی سے بحالی,KI,523,URDU,urdu_bm25,21,47,19.296123504638672,50
post_phase12_module1_M1-B,M1-B,R001,ایشیائی مارکیٹوں میں کورونا کے بعد تیزی سے بحالی,KI,523,URDU,urdu_bm25,22,62245,19.14336395263672,50
post_phase12_module1_M1-B,M1-B,R001,ایشیائی مارکیٹوں میں کورونا کے بعد تیزی سے بحالی,KI,523,URDU,urdu_bm25,23,38491,18.634035110473633,50
post_phase12_module1_M1-B,M1-B,R001,ایشیائی مارکیٹوں میں کورونا کے بعد تیزی سے بحالی,KI,523,URDU,urdu_bm25,24,848,18.60540199279785,50
post_phase12_module1_M1-B,M1-B,R001,ایشیائی مارکیٹوں میں کورونا کے بعد تیزی سے بحالی,KI,523,URDU,urdu_bm25,25,62296,18.553003311157227,50
post_phase12_module1_M1-B,M1-B,R001,ایشیائی مارکیٹوں میں کورونا کے بعد تیزی سے بحالی,KI,523,URDU,urdu_bm25,26,62425,18.50816535949707,50
post_phase12_module1_M1-B,M1-B,R001,ایشیائی مارکیٹوں میں کورونا کے بعد تیزی سے بحالی,KI,523,URDU,urdu_bm25,27,699,18.475093841552734,50
post_phase12_module1_M1-B,M1-B,R001,ایشیائی مارکیٹوں میں کورونا کے بعد تیزی سے بحالی,KI,523,URDU,urdu_bm25,28,379,18.417757034301758,50
post_phase12_module1_M1-B,M1-B,R001,ایشیائی مارکیٹوں میں کورونا کے بعد تیزی سے بحالی,KI,523,URDU,urdu_bm25,29,70552,18.352760314941406,50
post_phase12_module1_M1-B,M1-B,R001,ایشیائی مارکیٹوں میں کورونا کے بعد تیزی سے بحالی,KI,523,URDU,urdu_bm25,30,202,18.242719650268555,50
post_phase12_module1_M1-B,M1-B,R001,ایشیائی مارکیٹوں میں کورونا کے بعد تیزی سے بحالی,KI,523,URDU,urdu_bm25,31,74174,18.179201126098633,50
post_phase12_module1_M1-B,M1-B,R001,ایشیائی مارکیٹوں میں کورونا کے بعد تیزی سے بحالی,KI,523,URDU,urdu_bm25,32,532,18.0004940032959,50
post_phase12_module1_M1-B,M1-B,R001,ایشیائی مارکیٹوں میں کورونا کے بعد تیزی سے بحالی,KI,523,URDU,urdu_bm25,33,71764,17.74749755859375,50
post_phase12_module1_M1-B,M1-B,R001,ایشیائی مارکیٹوں میں کورونا کے بعد تیزی سے بحالی,KI,523,URDU,urdu_bm25,34,178,17.564661026000977,50
post_phase12_module1_M1-B,M1-B,R001,ایشیائی مارکیٹوں میں کورونا کے بعد تیزی سے بحالی,KI,523,URDU,urdu_bm25,35,63563,17.55830955505371,50
post_phase12_module1_M1-B,M1-B,R001,ایشیائی مارکیٹوں میں کورونا کے بعد تیزی سے بحالی,KI,523,URDU,urdu_bm25,36,70413,17.436616897583008,50
post_phase12_module1_M1-B,M1-B,R001,ایشیائی مارکیٹوں میں کورونا کے بعد تیزی سے بحالی,KI,523,URDU,urdu_bm25,37,38501,17.425561904907227,50
post_phase12_module1_M1-B,M1-B,R001,ایشیائی مارکیٹوں میں کورونا کے بعد تیزی سے بحالی,KI,523,URDU,urdu_bm25,38,38447,17.318586349487305,50
post_phase12_module1_M1-B,M1-B,R001,ایشیائی مارکیٹوں میں کورونا کے بعد تیزی سے بحالی,KI,523,URDU,urdu_bm25,39,108881,17.234113693237305,50
post_phase12_module1_M1-B,M1-B,R001,ایشیائی مارکیٹوں میں کورونا کے بعد تیزی سے بحالی,KI,523,URDU,urdu_bm25,40,63751,17.22584342956543,50
post_phase12_module1_M1-B,M1-B,R001,ایشیائی مارکیٹوں میں کورونا کے بعد تیزی سے بحالی,KI,523,URDU,urdu_bm25,41,108895,16.979869842529297,50
post_phase12_module1_M1-B,M1-B,R001,ایشیائی مارکیٹوں میں کورونا کے بعد تیزی سے بحالی,KI,523,URDU,urdu_bm25,42,62699,16.90237808227539,50
post_phase12_module1_M1-B,M1-B,R001,ایشیائی مارکیٹوں میں کورونا کے بعد تیزی سے بحالی,KI,523,URDU,urdu_bm25,43,5003,16.883596420288086,50
post_phase12_module1_M1-B,M1-B,R001,ایشیائی مارکیٹوں میں کورونا کے بعد تیزی سے بحالی,KI,523,URDU,urdu_bm25,44,61635,16.87830352783203,50
post_phase12_module1_M1-B,M1-B,R001,ایشیائی مارکیٹوں میں کورونا کے بعد تیزی سے بحالی,KI,523,URDU,urdu_bm25,45,473,16.856922149658203,50
post_phase12_module1_M1-B,M1-B,R001,ایشیائی مارکیٹوں میں کورونا کے بعد تیزی سے بحالی,KI,523,URDU,urdu_bm25,46,697,16.821578979492188,50
post_phase12_module1_M1-B,M1-B,R001,ایشیائی مارکیٹوں میں کورونا کے بعد تیزی سے بحالی,KI,523,URDU,urdu_bm25,47,70592,16.726999282836914,50
post_phase12_module1_M1-B,M1-B,R001,ایشیائی مارکیٹوں میں کورونا کے بعد تیزی سے بحالی,KI,523,URDU,urdu_bm25,48,641,16.713647842407227,50
post_phase12_module1_M1-B,M1-B,R001,ایشیائی مارکیٹوں میں کورونا کے بعد تیزی سے بحالی,KI,523,URDU,urdu_bm25,49,73396,16.708263397216797,50
