"query_id","query","word_count","script","rule_type","tag","category","pre_registered_hypothesis","retrieval_mode","rank","doc_id","doc_headline","doc_category","score","invalid_no_corpus_match","tied_or_zero_similarity_flag","relevance"
"P25_01","اسٹاک مارکیٹ میں تیزی آئی","5","urdu","§4_bare_event","5w","Business & Economics","LONG","HEADLINE","1","64778","اسٹاک مارکیٹ میں زبردست تیزی","Business & Economics","0.961288","False","False","Relevant"
"P25_01","اسٹاک مارکیٹ میں تیزی آئی","5","urdu","§4_bare_event","5w","Business & Economics","LONG","HEADLINE","2","2701","اسٹاک مارکیٹ میں تیزی کا رجحان برقرار","Business & Economics","0.943789","False","False","Relevant"
"P25_01","اسٹاک مارکیٹ میں تیزی آئی","5","urdu","§4_bare_event","5w","Business & Economics","LONG","HEADLINE","3","969","اسٹاک مارکیٹ میں تیزی کا رجحان جاری","Business & Economics","0.930143","False","False","Relevant"
"P25_01","اسٹاک مارکیٹ میں تیزی آئی","5","urdu","§4_bare_event","5w","Business & Economics","LONG","HEADLINE","4","39721","سٹاک مارکیٹ میں زبردست تیزی کا رجحان غالب رہا","Business & Economics","0.908331","False","False","Relevant"
"P25_01","اسٹاک مارکیٹ میں تیزی آئی","5","urdu","§4_bare_event","5w","Business & Economics","LONG","HEADLINE","5","111444","اسٹاک مارکیٹ میں تیزی کے بعد مندی چھا گئی","Business & Economics","0.886898","False","False","Partially relevant"
"P25_01","اسٹاک مارکیٹ میں تیزی آئی","5","urdu","§4_bare_event","5w","Business & Economics","LONG","FULL_CONTENT","1","39614","سٹاک مارکیٹ میں دن بھر تیزی کا رجحان غالب رہا","Business & Economics","0.812516","False","False","Relevant"
"P25_01","اسٹاک مارکیٹ میں تیزی آئی","5","urdu","§4_bare_event","5w","Business & Economics","LONG","FULL_CONTENT","2","39721","سٹاک مارکیٹ میں زبردست تیزی کا رجحان غالب رہا","Business & Economics","0.802264","False","False","Relevant"
"P25_01","اسٹاک مارکیٹ میں تیزی آئی","5","urdu","§4_bare_event","5w","Business & Economics","LONG","FULL_CONTENT","3","40827","کراچی سٹاک مارکیٹ میں تیزی کارجحان","Business & Economics","0.796293","False","False","Relevant"
"P25_01","اسٹاک مارکیٹ میں تیزی آئی","5","urdu","§4_bare_event","5w","Business & Economics","LONG","FULL_CONTENT","4","39727","سٹاک مارکیٹ ایک بارپھر ترقی کی جانب گامزن","Business & Economics","0.790263","False","False","Partially relevant"
"P25_01","اسٹاک مارکیٹ میں تیزی آئی","5","urdu","§4_bare_event","5w","Business & Economics","LONG","FULL_CONTENT","5","41067","مالی سال 152014کے اخری روز سٹاک مارکیٹ میں تیزی","Business & Economics","0.789735","False","False","Relevant"
