experiment_id,candidate_id,query_id,query_text,track,source_doc_id,detector_label,retrieval_path,rank,doc_id,bm25_score,n_hits_returned
post_phase12_module2_M2-B,M2-B,R001,ایشیائی مارکیٹوں میں کورونا کے بعد تیزی سے بحالی,KI,523,URDU,urdu_headline_body_rrf,1,86,0.03128054740957967,50
post_phase12_module2_M2-B,M2-B,R001,ایشیائی مارکیٹوں میں کورونا کے بعد تیزی سے بحالی,KI,523,URDU,urdu_headline_body_rrf,2,62180,0.029513888888888888,50
post_phase12_module2_M2-B,M2-B,R001,ایشیائی مارکیٹوں میں کورونا کے بعد تیزی سے بحالی,KI,523,URDU,urdu_headline_body_rrf,3,40167,0.028850145288501453,50
post_phase12_module2_M2-B,M2-B,R001,ایشیائی مارکیٹوں میں کورونا کے بعد تیزی سے بحالی,KI,523,URDU,urdu_headline_body_rrf,4,40047,0.027364110201042444,50
post_phase12_module2_M2-B,M2-B,R001,ایشیائی مارکیٹوں میں کورونا کے بعد تیزی سے بحالی,KI,523,URDU,urdu_headline_body_rrf,5,673,0.027071520029266508,50
post_phase12_module2_M2-B,M2-B,R001,ایشیائی مارکیٹوں میں کورونا کے بعد تیزی سے بحالی,KI,523,URDU,urdu_headline_body_rrf,6,62245,0.025676937441643323,50
post_phase12_module2_M2-B,M2-B,R001,ایشیائی مارکیٹوں میں کورونا کے بعد تیزی سے بحالی,KI,523,URDU,urdu_headline_body_rrf,7,62425,0.0251414204902577,50
post_phase12_module2_M2-B,M2-B,R001,ایشیائی مارکیٹوں میں کورونا کے بعد تیزی سے بحالی,KI,523,URDU,urdu_headline_body_rrf,8,523,0.021994824747118325,50
post_phase12_module2_M2-B,M2-B,R001,ایشیائی مارکیٹوں میں کورونا کے بعد تیزی سے بحالی,KI,523,URDU,urdu_headline_body_rrf,9,70413,0.019897557131599686,50
post_phase12_module2_M2-B,M2-B,R001,ایشیائی مارکیٹوں میں کورونا کے بعد تیزی سے بحالی,KI,523,URDU,urdu_headline_body_rrf,10,62331,0.01639344262295082,50
post_phase12_module2_M2-B,M2-B,R001,ایشیائی مارکیٹوں میں کورونا کے بعد تیزی سے بحالی,KI,523,URDU,urdu_headline_body_rrf,11,62405,0.01639344262295082,50
post_phase12_module2_M2-B,M2-B,R001,ایشیائی مارکیٹوں میں کورونا کے بعد تیزی سے بحالی,KI,523,URDU,urdu_headline_body_rrf,12,62439,0.016129032258064516,50
post_phase12_module2_M2-B,M2-B,R001,ایشیائی مارکیٹوں میں کورونا کے بعد تیزی سے بحالی,KI,523,URDU,urdu_headline_body_rrf,13,40694,0.015873015873015872,50
post_phase12_module2_M2-B,M2-B,R001,ایشیائی مارکیٹوں میں کورونا کے بعد تیزی سے بحالی,KI,523,URDU,urdu_headline_body_rrf,14,63250,0.015625,50
