experiment_id,query_id,query_text,detector_label,retrieval_path,rank,doc_id,bm25_score,n_hits_returned
phase10b_frozen_dump,H001,پیٹرول کیوں مہنگا,URDU,urdu_bm25,1,77997,18.600357055664062,50
phase10b_frozen_dump,H001,پیٹرول کیوں مہنگا,URDU,urdu_bm25,2,77073,18.078067779541016,50
phase10b_frozen_dump,H001,پیٹرول کیوں مہنگا,URDU,urdu_bm25,3,71574,17.808759689331055,50
phase10b_frozen_dump,H001,پیٹرول کیوں مہنگا,URDU,urdu_bm25,4,77562,17.47979736328125,50
phase10b_frozen_dump,H001,پیٹرول کیوں مہنگا,URDU,urdu_bm25,5,72766,17.281679153442383,50
phase10b_frozen_dump,H001,پیٹرول کیوں مہنگا,URDU,urdu_bm25,6,78955,17.146629333496094,50
phase10b_frozen_dump,H001,پیٹرول کیوں مہنگا,URDU,urdu_bm25,7,71071,16.86318588256836,50
phase10b_frozen_dump,H001,پیٹرول کیوں مہنگا,URDU,urdu_bm25,8,78082,16.81111717224121,50
phase10b_frozen_dump,H001,پیٹرول کیوں مہنگا,URDU,urdu_bm25,9,77549,16.50465965270996,50
phase10b_frozen_dump,H001,پیٹرول کیوں مہنگا,URDU,urdu_bm25,10,71125,16.4771671295166,50
phase10b_frozen_dump,H001,پیٹرول کیوں مہنگا,URDU,urdu_bm25,11,71512,16.460601806640625,50
phase10b_frozen_dump,H001,پیٹرول کیوں مہنگا,URDU,urdu_bm25,12,77993,16.38824462890625,50
phase10b_frozen_dump,H001,پیٹرول کیوں مہنگا,URDU,urdu_bm25,13,77995,16.37724494934082,50
phase10b_frozen_dump,H001,پیٹرول کیوں مہنگا,URDU,urdu_bm25,14,74843,16.345340728759766,50
phase10b_frozen_dump,H001,پیٹرول کیوں مہنگا,URDU,urdu_bm25,15,71511,16.338306427001953,50
phase10b_frozen_dump,H001,پیٹرول کیوں مہنگا,URDU,urdu_bm25,16,77653,16.32927703857422,50
phase10b_frozen_dump,H001,پیٹرول کیوں مہنگا,URDU,urdu_bm25,17,70768,16.291988372802734,50
phase10b_frozen_dump,H001,پیٹرول کیوں مہنگا,URDU,urdu_bm25,18,109649,16.18913459777832,50
